43.856: [GC [PSYoungGen: 174368K->256K(174400K)] 175704K->1592K(523968K), 0.0005329 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
44.267: [GC [PSYoungGen: 174336K->256K(174400K)] 175672K->1592K(523968K), 0.0006209 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
44.659: [GC [PSYoungGen: 174336K->256K(174400K)] 175672K->1592K(523968K), 0.0005545 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
45.049: [GC [PSYoungGen: 174336K->256K(174400K)] 175672K->1592K(523968K), 0.0005581 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
45.516: [GC [PSYoungGen: 174336K->256K(174400K)] 175672K->1592K(523968K), 0.0006049 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
45.970: [GC [PSYoungGen: 174336K->256K(174400K)] 175672K->1592K(523968K), 0.0005305 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
46.366: [GC [PSYoungGen: 174336K->256K(174400K)] 175672K->1592K(523968K), 0.0008234 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
46.758: [GC [PSYoungGen: 174336K->256K(174400K)] 175672K->1592K(523968K), 0.0006271 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
47.088: [GC [PSYoungGen: 174336K->288K(174400K)] 175672K->1624K(523968K), 0.0005546 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
47.369: [GC [PSYoungGen: 174368K->256K(174400K)] 175704K->1656K(523968K), 0.0007256 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
47.646: [GC [PSYoungGen: 174336K->256K(174400K)] 175736K->1656K(523968K), 0.0005802 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
47.922: [GC [PSYoungGen: 174336K->288K(174400K)] 175736K->1688K(523968K), 0.0005835 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
48.208: [GC [PSYoungGen: 174368K->288K(174400K)] 175768K->1688K(523968K), 0.0005228 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
48.486: [GC [PSYoungGen: 174368K->256K(174400K)] 175768K->1656K(523968K), 0.0005721 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
48.766: [GC [PSYoungGen: 174336K->320K(174400K)] 175736K->1720K(523968K), 0.0005967 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
49.044: [GC [PSYoungGen: 174400K->256K(174400K)] 175800K->1656K(523968K), 0.0005596 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
49.327: [GC [PSYoungGen: 174336K->288K(174400K)] 175736K->1688K(523968K), 0.0007955 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
49.610: [GC [PSYoungGen: 174368K->256K(174400K)] 175768K->1656K(523968K), 0.0005729 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
49.918: [GC [PSYoungGen: 174336K->256K(174400K)] 175736K->1656K(523968K), 0.0005918 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
50.232: [GC [PSYoungGen: 174336K->288K(174400K)] 175736K->1688K(523968K), 0.0005710 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
50.522: [GC [PSYoungGen: 174368K->256K(174400K)] 175768K->1656K(523968K), 0.0005575 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
50.838: [GC [PSYoungGen: 174335K->256K(174400K)] 175735K->1656K(523968K), 0.0006312 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
51.160: [GC [PSYoungGen: 174336K->256K(174400K)] 175736K->1656K(523968K), 0.0006135 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
51.458: [GC [PSYoungGen: 174336K->256K(174400K)] 175736K->1656K(523968K), 0.0005503 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
51.750: [GC [PSYoungGen: 174336K->256K(174400K)] 175736K->1656K(523968K), 0.0005070 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.044: [GC [PSYoungGen: 174336K->256K(174400K)] 175736K->1656K(523968K), 0.0005932 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
52.369: [GC [PSYoungGen: 174336K->256K(174400K)] 175736K->1656K(523968K), 0.0005126 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.677: [GC [PSYoungGen: 174336K->256K(174400K)] 175736K->1656K(523968K), 0.0005175 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.974: [GC [PSYoungGen: 174336K->256K(174400K)] 175736K->1656K(523968K), 0.0007953 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
53.275: [GC [PSYoungGen: 174336K->256K(174400K)] 175736K->1720K(523968K), 0.0008143 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.574: [GC [PSYoungGen: 174336K->256K(174400K)] 175800K->1720K(523968K), 0.0005630 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.876: [GC [PSYoungGen: 174336K->256K(174400K)] 175800K->1720K(523968K), 0.0007045 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
54.176: [GC [PSYoungGen: 174336K->256K(174400K)] 175800K->1720K(523968K), 0.0005224 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
54.476: [GC [PSYoungGen: 174336K->256K(174400K)] 175800K->1720K(523968K), 0.0005554 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
54.774: [GC [PSYoungGen: 174336K->256K(174400K)] 175800K->1720K(523968K), 0.0005546 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
55.071: [GC [PSYoungGen: 174336K->256K(174400K)] 175800K->1720K(523968K), 0.0005784 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
55.368: [GC [PSYoungGen: 174336K->256K(174400K)] 175800K->1720K(523968K), 0.0005846 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
55.664: [GC [PSYoungGen: 174336K->256K(174400K)] 175800K->1720K(523968K), 0.0005337 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
55.957: [GC [PSYoungGen: 174336K->256K(174400K)] 175800K->1720K(523968K), 0.0005275 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
56.256: [GC [PSYoungGen: 174336K->256K(174400K)] 175800K->1720K(523968K), 0.0005397 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
56.552: [GC [PSYoungGen: 174336K->256K(174400K)] 175800K->1720K(523968K), 0.0005419 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
56.844: [GC [PSYoungGen: 174336K->256K(174400K)] 175800K->1720K(523968K), 0.0008852 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
57.134: [GC [PSYoungGen: 174336K->256K(174400K)] 175800K->1720K(523968K), 0.0005069 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
57.423: [GC [PSYoungGen: 174336K->256K(174400K)] 175800K->1720K(523968K), 0.0005598 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
57.690: [GC [PSYoungGen: 174336K->256K(174400K)] 175800K->1720K(523968K), 0.0005744 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
57.943: [GC [PSYoungGen: 174336K->256K(174400K)] 175800K->1784K(523968K), 0.0008063 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
58.243: [GC [PSYoungGen: 174336K->256K(174400K)] 175864K->1784K(523968K), 0.0005588 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
58.561: [GC [PSYoungGen: 174336K->256K(174400K)] 175864K->1784K(523968K), 0.0006928 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
58.844: [GC [PSYoungGen: 174336K->256K(174400K)] 175864K->1784K(523968K), 0.0005461 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
59.103: [GC [PSYoungGen: 174336K->256K(174400K)] 175864K->1784K(523968K), 0.0005215 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
59.358: [GC [PSYoungGen: 174336K->256K(174400K)] 175864K->1784K(523968K), 0.0005268 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
59.615: [GC [PSYoungGen: 174336K->256K(174400K)] 175864K->1784K(523968K), 0.0005096 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
59.870: [GC [PSYoungGen: 174336K->256K(174400K)] 175864K->1784K(523968K), 0.0005179 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
60.130: [GC [PSYoungGen: 174336K->256K(174400K)] 175864K->1784K(523968K), 0.0005754 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
60.391: [GC [PSYoungGen: 174336K->256K(174400K)] 175864K->1784K(523968K), 0.0005144 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
60.645: [GC [PSYoungGen: 174336K->256K(174400K)] 175864K->1784K(523968K), 0.0005021 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
60.900: [GC [PSYoungGen: 174336K->256K(174400K)] 175864K->1784K(523968K), 0.0005293 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
61.156: [GC [PSYoungGen: 174336K->256K(174400K)] 175864K->1784K(523968K), 0.0005047 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
61.415: [GC [PSYoungGen: 174336K->256K(174400K)] 175864K->1784K(523968K), 0.0004947 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
61.676: [GC [PSYoungGen: 174336K->256K(174400K)] 175864K->1784K(523968K), 0.0005152 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
61.938: [GC [PSYoungGen: 174336K->256K(174400K)] 175864K->1784K(523968K), 0.0008002 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
62.203: [GC [PSYoungGen: 174336K->256K(174400K)] 175864K->1784K(523968K), 0.0006230 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
62.430: [GC [PSYoungGen: 174336K->290K(174400K)] 175864K->1834K(523968K), 0.0005773 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
62.620: [GC [PSYoungGen: 174370K->320K(174272K)] 175914K->1966K(523840K), 0.0005440 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
62.811: [GC [PSYoungGen: 174272K->371K(174336K)] 175918K->2025K(523904K), 0.0005709 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
63.000: [GC [PSYoungGen: 174323K->320K(174336K)] 175977K->1974K(523904K), 0.0005641 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
63.194: [GC [PSYoungGen: 174272K->365K(174336K)] 175926K->2019K(523904K), 0.0005781 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
63.380: [GC [PSYoungGen: 174317K->352K(174208K)] 175971K->2006K(523776K), 0.0005775 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
63.574: [GC [PSYoungGen: 174176K->393K(174272K)] 175830K->2047K(523840K), 0.0006208 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
63.763: [GC [PSYoungGen: 174217K->352K(174272K)] 175871K->2006K(523840K), 0.0005979 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
63.955: [GC [PSYoungGen: 174174K->386K(174272K)] 175828K->2040K(523840K), 0.0005583 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
64.149: [GC [PSYoungGen: 174210K->338K(174272K)] 175864K->1992K(523840K), 0.0006226 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
64.346: [GC [PSYoungGen: 174162K->372K(174272K)] 175816K->2026K(523840K), 0.0006174 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
64.533: [GC [PSYoungGen: 174195K->384K(174144K)] 175849K->2038K(523712K), 0.0006030 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
64.724: [GC [PSYoungGen: 174078K->405K(174208K)] 175732K->2059K(523776K), 0.0005250 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
64.901: [GC [PSYoungGen: 174101K->345K(174208K)] 175755K->1999K(523776K), 0.0005482 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
65.076: [GC [PSYoungGen: 174041K->352K(174208K)] 175695K->2006K(523776K), 0.0005801 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
65.249: [GC [PSYoungGen: 174048K->371K(174272K)] 175702K->2025K(523840K), 0.0005625 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
65.430: [GC [PSYoungGen: 174195K->387K(174272K)] 175849K->2041K(523840K), 0.0007012 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
65.610: [GC [PSYoungGen: 174211K->374K(174144K)] 175865K->2028K(523712K), 0.0005507 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
65.784: [GC [PSYoungGen: 174070K->352K(174208K)] 175724K->2006K(523776K), 0.0005657 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
65.959: [GC [PSYoungGen: 174048K->352K(174272K)] 175702K->2006K(523840K), 0.0007460 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
