85.763: [GC [PSYoungGen: 174240K->32K(174464K)] 176221K->2013K(524032K), 0.0006270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
86.293: [GC [PSYoungGen: 174240K->64K(174464K)] 176221K->2045K(524032K), 0.0004803 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
86.806: [GC [PSYoungGen: 174272K->160K(174464K)] 176253K->2141K(524032K), 0.0004341 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
87.336: [GC [PSYoungGen: 174368K->160K(174464K)] 176349K->2141K(524032K), 0.0004526 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
87.865: [GC [PSYoungGen: 174368K->128K(174464K)] 176349K->2109K(524032K), 0.0004645 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
88.419: [GC [PSYoungGen: 174336K->256K(174464K)] 176317K->2237K(524032K), 0.0005296 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
89.122: [GC [PSYoungGen: 174464K->0K(174336K)] 176445K->2037K(523904K), 0.0004424 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
89.831: [GC [PSYoungGen: 174080K->0K(174400K)] 176117K->2037K(523968K), 0.0004267 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
90.542: [GC [PSYoungGen: 174080K->32K(174400K)] 176117K->2069K(523968K), 0.0006817 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
91.245: [GC [PSYoungGen: 174112K->32K(174400K)] 176149K->2069K(523968K), 0.0004714 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
91.959: [GC [PSYoungGen: 174112K->64K(174464K)] 176149K->2101K(524032K), 0.0004661 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
92.655: [GC [PSYoungGen: 174208K->64K(174400K)] 176245K->2101K(523968K), 0.0004709 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
93.359: [GC [PSYoungGen: 174208K->64K(174464K)] 176245K->2101K(524032K), 0.0004434 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
94.072: [GC [PSYoungGen: 174272K->96K(174464K)] 176309K->2133K(524032K), 0.0004987 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
94.770: [GC [PSYoungGen: 174304K->96K(174464K)] 176341K->2133K(524032K), 0.0005000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.474: [GC [PSYoungGen: 174304K->32K(174464K)] 176341K->2069K(524032K), 0.0004582 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
96.180: [GC [PSYoungGen: 174240K->96K(174464K)] 176277K->2133K(524032K), 0.0007284 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
96.890: [GC [PSYoungGen: 174304K->64K(174464K)] 176341K->2101K(524032K), 0.0004287 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
98.138: [GC [PSYoungGen: 174272K->192K(174400K)] 176309K->2245K(523968K), 0.0005331 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
98.727: [GC [PSYoungGen: 174400K->32K(174464K)] 176453K->2149K(524032K), 0.0006461 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
99.323: [GC [PSYoungGen: 174240K->160K(174464K)] 176357K->2277K(524032K), 0.0004861 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
99.908: [GC [PSYoungGen: 174368K->64K(174464K)] 176485K->2181K(524032K), 0.0004384 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
100.504: [GC [PSYoungGen: 174272K->0K(174464K)] 176389K->2117K(524032K), 0.0006452 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
101.103: [GC [PSYoungGen: 174208K->32K(174464K)] 176325K->2149K(524032K), 0.0005239 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
101.687: [GC [PSYoungGen: 174240K->64K(174464K)] 176357K->2181K(524032K), 0.0004597 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
102.269: [GC [PSYoungGen: 174272K->32K(174464K)] 176389K->2149K(524032K), 0.0004843 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
102.847: [GC [PSYoungGen: 174240K->96K(174464K)] 176357K->2213K(524032K), 0.0005299 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
103.439: [GC [PSYoungGen: 174304K->160K(174464K)] 176421K->2277K(524032K), 0.0005782 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
104.041: [GC [PSYoungGen: 174368K->96K(174464K)] 176485K->2213K(524032K), 0.0004531 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
104.637: [GC [PSYoungGen: 174304K->64K(174464K)] 176421K->2181K(524032K), 0.0004617 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
105.230: [GC [PSYoungGen: 174272K->32K(174464K)] 176389K->2149K(524032K), 0.0004994 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
105.818: [GC [PSYoungGen: 174240K->32K(174464K)] 176357K->2149K(524032K), 0.0005083 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
106.542: [GC [PSYoungGen: 174240K->192K(174400K)] 176357K->2325K(523968K), 0.0005273 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
106.841: [GC [PSYoungGen: 174400K->64K(174464K)] 176533K->2261K(524032K), 0.0004887 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
107.133: [GC [PSYoungGen: 174272K->32K(174464K)] 176469K->2229K(524032K), 0.0004833 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
107.426: [GC [PSYoungGen: 174240K->160K(174464K)] 176437K->2357K(524032K), 0.0004321 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
107.716: [GC [PSYoungGen: 174368K->64K(174464K)] 176565K->2261K(524032K), 0.0004658 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
107.995: [GC [PSYoungGen: 174272K->64K(174464K)] 176469K->2261K(524032K), 0.0005091 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108.284: [GC [PSYoungGen: 174272K->96K(174464K)] 176469K->2293K(524032K), 0.0005138 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108.594: [GC [PSYoungGen: 174304K->64K(174464K)] 176501K->2261K(524032K), 0.0004546 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108.915: [GC [PSYoungGen: 174272K->64K(174528K)] 176469K->2261K(524096K), 0.0004785 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
109.210: [GC [PSYoungGen: 174336K->128K(174464K)] 176533K->2325K(524032K), 0.0004897 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
109.496: [GC [PSYoungGen: 174400K->64K(174528K)] 176597K->2261K(524096K), 0.0004390 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
109.763: [GC [PSYoungGen: 174336K->32K(174464K)] 176533K->2229K(524032K), 0.0004794 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
110.068: [GC [PSYoungGen: 174304K->64K(174528K)] 176501K->2261K(524096K), 0.0004778 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
110.357: [GC [PSYoungGen: 174400K->128K(174528K)] 176597K->2325K(524096K), 0.0004420 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
110.660: [GC [PSYoungGen: 174464K->96K(174528K)] 176661K->2293K(524096K), 0.0004472 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
110.959: [GC [PSYoungGen: 174428K->64K(174528K)] 176625K->2261K(524096K), 0.0004517 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
111.263: [GC [PSYoungGen: 174400K->160K(174400K)] 176597K->2357K(523968K), 0.0005405 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
111.558: [GC [PSYoungGen: 174368K->64K(174464K)] 176565K->2261K(524032K), 0.0004115 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
111.858: [GC [PSYoungGen: 174272K->160K(174400K)] 176469K->2357K(523968K), 0.0005056 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
112.162: [GC [PSYoungGen: 174368K->160K(174464K)] 176565K->2357K(524032K), 0.0004764 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
112.453: [GC [PSYoungGen: 174368K->96K(174464K)] 176565K->2293K(524032K), 0.0004916 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
112.727: [GC [PSYoungGen: 174304K->192K(174464K)] 176501K->2389K(524032K), 0.0005513 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
112.996: [GC [PSYoungGen: 174398K->160K(174464K)] 176595K->2357K(524032K), 0.0004119 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
113.295: [GC [PSYoungGen: 174368K->96K(174464K)] 176565K->2293K(524032K), 0.0004072 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
113.601: [GC [PSYoungGen: 174304K->128K(174464K)] 176501K->2325K(524032K), 0.0005559 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
