34.437: [GC [PSYoungGen: 674400K->11872K(674432K)] 703228K->40764K(2072576K), 0.0300384 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
34.912: [GC [PSYoungGen: 674400K->11872K(679872K)] 703292K->40852K(2078016K), 0.0301373 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
35.385: [GC [PSYoungGen: 673120K->11776K(673024K)] 702100K->40828K(2071168K), 0.0300142 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
35.866: [GC [PSYoungGen: 673024K->11840K(680000K)] 702076K->40956K(2078144K), 0.0302590 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
36.345: [GC [PSYoungGen: 672832K->11808K(680000K)] 701948K->41004K(2078144K), 0.0302870 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
36.818: [GC [PSYoungGen: 672800K->11904K(680128K)] 701996K->41172K(2078272K), 0.0300332 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
37.293: [GC [PSYoungGen: 673077K->11840K(680064K)] 702345K->41180K(2078208K), 0.0306775 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
37.772: [GC [PSYoungGen: 673024K->11776K(680512K)] 702364K->41188K(2078656K), 0.0304156 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
38.245: [GC [PSYoungGen: 673600K->11776K(680320K)] 703012K->41252K(2078464K), 0.0304210 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
38.721: [GC [PSYoungGen: 673596K->11808K(681024K)] 703072K->41364K(2079168K), 0.0304455 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
39.199: [GC [PSYoungGen: 674592K->11840K(680768K)] 704148K->41492K(2078912K), 0.0306294 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
39.675: [GC [PSYoungGen: 674624K->11808K(681600K)] 704276K->41524K(2079744K), 0.0310965 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
40.155: [GC [PSYoungGen: 675680K->11872K(681280K)] 705396K->41660K(2079424K), 0.0303171 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
40.631: [GC [PSYoungGen: 675744K->11872K(682112K)] 705532K->41732K(2080256K), 0.0306922 secs] [Times: user=0.04 sys=0.01, real=0.03 secs] 
