86.133: [GC [PSYoungGen: 174240K->32K(174464K)] 176225K->2017K(524032K), 0.0005627 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
86.653: [GC [PSYoungGen: 174240K->64K(174528K)] 176225K->2049K(524096K), 0.0004378 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
87.228: [GC [PSYoungGen: 174336K->192K(174464K)] 176321K->2193K(524032K), 0.0006228 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
87.911: [GC [PSYoungGen: 174464K->0K(174464K)] 176465K->2065K(524032K), 0.0006213 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
88.613: [GC [PSYoungGen: 174208K->96K(174464K)] 176273K->2161K(524032K), 0.0004783 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
89.321: [GC [PSYoungGen: 174304K->0K(174464K)] 176369K->2065K(524032K), 0.0004975 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
90.024: [GC [PSYoungGen: 174208K->32K(174464K)] 176273K->2097K(524032K), 0.0006611 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
90.726: [GC [PSYoungGen: 174240K->128K(174464K)] 176305K->2193K(524032K), 0.0004895 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
91.425: [GC [PSYoungGen: 174336K->64K(174464K)] 176401K->2129K(524032K), 0.0005312 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
92.142: [GC [PSYoungGen: 174272K->128K(174464K)] 176337K->2193K(524032K), 0.0004681 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
92.845: [GC [PSYoungGen: 174336K->64K(174464K)] 176401K->2129K(524032K), 0.0004436 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.555: [GC [PSYoungGen: 174272K->32K(174464K)] 176337K->2097K(524032K), 0.0005018 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
94.256: [GC [PSYoungGen: 174240K->96K(174464K)] 176305K->2161K(524032K), 0.0004386 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
94.945: [GC [PSYoungGen: 174304K->96K(174528K)] 176369K->2161K(524096K), 0.0004722 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.633: [GC [PSYoungGen: 174368K->96K(174464K)] 176433K->2161K(524032K), 0.0004904 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.985: [GC [PSYoungGen: 174368K->192K(174400K)] 176433K->2273K(523968K), 0.0004244 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
97.588: [GC [PSYoungGen: 174400K->96K(174464K)] 176481K->2233K(524032K), 0.0005803 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
98.188: [GC [PSYoungGen: 174304K->96K(174464K)] 176441K->2233K(524032K), 0.0004759 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
98.790: [GC [PSYoungGen: 174304K->0K(174464K)] 176441K->2137K(524032K), 0.0004306 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
99.369: [GC [PSYoungGen: 174208K->32K(174464K)] 176345K->2169K(524032K), 0.0004954 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
99.959: [GC [PSYoungGen: 174240K->96K(174464K)] 176377K->2233K(524032K), 0.0006688 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
100.553: [GC [PSYoungGen: 174304K->64K(174528K)] 176441K->2201K(524096K), 0.0004858 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
101.146: [GC [PSYoungGen: 174336K->96K(174464K)] 176473K->2233K(524032K), 0.0004395 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
101.737: [GC [PSYoungGen: 174368K->64K(174528K)] 176505K->2201K(524096K), 0.0005138 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
102.335: [GC [PSYoungGen: 174400K->32K(174528K)] 176537K->2169K(524096K), 0.0004158 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
102.933: [GC [PSYoungGen: 174368K->64K(174528K)] 176505K->2201K(524096K), 0.0004087 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
103.533: [GC [PSYoungGen: 174400K->32K(174528K)] 176537K->2169K(524096K), 0.0004718 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
104.136: [GC [PSYoungGen: 174368K->32K(174528K)] 176505K->2169K(524096K), 0.0006593 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
